City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
449,flying fish cove,-10.4217,105.6791,300.97,89,75,2.57,CX,1706673101
450,fort mcmurray,56.7268,-111.381,281.92,49,0,9.26,CA,1706673101
451,brisas de zicatela,15.8369,-97.0419,297.14,78,58,1.39,MX,1706673101
452,sheringham,52.9408,1.2093,274.93,86,16,5.1,GB,1706673101
453,vigneux-de-bretagne,47.3167,-1.7333,280.08,92,90,2.07,FR,1706673102
454,enriquillo,17.9,-71.2333,296.86,90,39,3.78,DO,1706673102
455,saint-pierre,-21.3393,55.4781,300.97,74,0,1.54,RE,1706673102
456,ruston,32.5232,-92.6379,288.05,58,0,1.54,US,1706673102
457,bodo,67.28,14.405,274.23,96,100,5.14,NO,1706673103
458,pionerskiy,54.9508,20.2275,277.06,89,100,6.88,RU,1706673103
459,libenge,3.65,18.6333,294.87,36,100,1.16,CD,1706673103
460,fuerte olimpo,-21.0415,-57.8738,299.9,64,82,2.32,PY,1706673103
461,askoy,60.4092,5.226,276.91,100,75,6.17,NO,1706673103
462,taghazout,30.5426,-9.7112,285.58,30,100,3.8,MA,1706673104
463,griffith,41.5284,-87.4237,277.11,88,100,5.14,US,1706673104
464,bac lieu,9.285,105.7244,302.12,62,59,7.52,VN,1706672917
465,benjamin hill,30.1667,-111.1,289.58,66,91,1.28,MX,1706673104
466,micheweni,-4.9667,39.8333,300.63,78,100,4.48,TZ,1706673027
467,chippewa falls,44.9369,-91.3929,274.81,88,75,0.0,US,1706673105
468,aleksandrov gay,50.147,48.5704,267.13,92,57,4.22,RU,1706673105
469,mili,6.0815,171.735,299.36,89,100,6.66,MH,1706672936
470,madiun,-7.6298,111.5239,303.6,69,24,2.54,ID,1706673047
471,shimoda,34.6667,138.95,288.21,85,60,6.89,JP,1706672968
472,rio grande,-32.035,-52.0986,293.85,89,11,2.05,BR,1706672810
473,conde,-7.2597,-34.9075,297.85,88,0,2.06,BR,1706673106
474,kangdong-up,39.1425,126.0961,274.28,67,90,1.39,KP,1706673106
475,susuman,62.7833,148.1667,240.92,97,100,0.89,RU,1706673106
476,umba,66.6871,34.3429,271.9,78,22,6.27,RU,1706673107
477,grand gaube,-20.0064,57.6608,301.69,78,74,1.79,MU,1706673107
478,half moon bay,37.4636,-122.4286,290.3,76,40,4.12,US,1706673107
479,trapani,37.8333,12.6667,280.53,93,0,2.06,IT,1706673107
480,niquelandia,-14.4739,-48.4597,293.65,98,100,1.18,BR,1706673108
481,bouna,9.2667,-3.0,296.27,21,86,1.8,CI,1706673109
482,figuig (centre),32.1089,-1.2286,280.36,74,29,1.86,MA,1706673109
483,khandyga,62.6667,135.6,236.41,95,96,0.2,RU,1706673109
484,iwon-up,40.3231,128.6553,276.86,54,0,1.49,KP,1706673109
485,playa del ingles,27.7567,-15.5787,293.37,22,0,3.12,ES,1706673109
486,nawabganj,24.5911,88.271,295.89,38,0,2.9,BD,1706673110
487,inirida,3.8653,-67.9239,298.76,73,17,0.59,CO,1706673110
488,kapan,39.2075,46.4058,269.33,86,56,1.53,AM,1706673110
489,guadalupe y calvo,26.1,-106.9667,279.64,71,46,0.87,MX,1706673110
490,walvis bay,-22.9575,14.5053,290.68,100,3,4.12,NA,1706673111
491,manaure,11.7751,-72.4445,298.3,83,8,5.55,CO,1706673111
492,pacasmayo,-7.4006,-79.5714,297.82,78,93,4.57,PE,1706673111
493,dehui,44.5333,125.7,257.11,81,51,4.35,CN,1706673111
